NAME;LUN;LUN_REDUCED;NAME_TYPE;TYPE;SUBTYPE;PERIOD;GEOLOGY;NAME_DETAIL;NAME_ORIGIN;LANGRENUS;HEVELIUS;RICCIOLI;WORK;COUNTRY;NATIONLITY;CENTURY_N;CENTURY_C;BIRTH_PLACE;BIRTH_DATE;DEATH_PLACE;DEATH_DATE;FACTS;LONGI_N;LONGI_N_360;LONGI_C;LATI_N;LATI_C;FACE;QUADRANT;AREA;RUKL;RUKL_C;VISCARDY;HATFIELD;WESTFALL;WOOD;LOPAM;LENGTH_KM;WIDE_KM;LENGTH_MI;WIDE_MI;HEIGHT_M;HEIGHT_FE;RAPPORT;PROFIL;GENERAL_1;SLOPES;WALLS;FLOOR;INTEREST_N;INTEREST_C;LUNATION;MOONDAY_S;MOONDAY_M;DIAM_INST;TH_INSTRU;PR_INSTRU;IAU_FEATURE_NAME;IAU_CLEAN_FEATURE_NAME;IAU_FEATURE_ID;IAU_DIAMETER;IAU_CENTER_LATITUDE;IAU_CENTER_LONGITUDE;IAU_NORTHERN_LATITUDE;IAU_SOUTHERN_LATITUDE;IAU_EASTERN_LONGITUDE;IAU_WESTERN_LONGITUDE;IAU_COORDINATE_SYSTEM;IAU_CONTINENT;IAU_ETHNICITY;IAU_FEATURE_TYPE;IAU_FEATURE_TYPE_CODE;IAU_QUAD_NAME;IAU_QUAD_CODE;IAU_APPROVAL_STATUS;IAU_APPROVAL_DATE;IAU_REFERENCE;IAU_ORIGIN;IAU_LINK
NELIOTA 1;Impossible creation;Impossible creation;Unnamed formation;Contemporary meteoritic impact;No subtype;2017;Non appliable;NELIOTA 1;NELIOTA project (ESA);Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;-29,2;330,8;29 ° 12 '  West;-1,5;1 ° 30 '  South;Visible face;South-West;Not determined;999;Not determined;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Event date & time : 2017 02 01 @ 17:13:57.862 UT;R Magnitude = 10,15 +/- 0,12 & I Magnitude = 9,05 +/- 0,05 > Latitude : -1,5 ° +/- 0,5 ° > Longitude : -29,2 ° +/- 0,5 °;Frames R : 1 & Frames I : 1;Validated Near Earth Object / Maximum duration : 0,033 / Airmass : 1,66;999;Not visible;Not visible;Not visible;Not visible;Not visible;Not visible;Not visible;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved
NELIOTA 2;Impossible creation;Impossible creation;Unnamed formation;Contemporary meteoritic impact;No subtype;2017;Non appliable;NELIOTA 2;NELIOTA project (ESA);Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;-9,7;350,3;9 ° 42 '  West;-10,3;10 ° 42 '  South;Visible face;South-West;Not determined;999;Not determined;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Event date & time : 2017 03 01 @ 17:08:46.573 UT;R Magnitude = 6,67 +/- 0,07 & I Magnitude = 6,07 +/- 0,06 > Latitude : -10,3 ° +/- 0,5 ° > Longitude : -9,7 ° +/- 0,5 °;Frames R : 2 & Frames I : 4;Validated Near Earth Object / Maximum duration : 0,132 / Airmass : 2,18;999;Not visible;Not visible;Not visible;Not visible;Not visible;Not visible;Not visible;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved
NELIOTA 3;Impossible creation;Impossible creation;Unnamed formation;Contemporary meteoritic impact;No subtype;2017;Non appliable;NELIOTA 3;NELIOTA project (ESA);Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;29,9;29,9;29 ° 54 '  East;4,5;4 ° 30 '  North;Visible face;North-East;Not determined;999;Not determined;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Event date & time : 2017 03 01 @ 17:13:17.360 UT;R Magnitude = 9,15 +/- 0,11 & I Magnitude = 8,23 +/- 0,07 > Latitude : 4,5 ° +/- 0,5 ° > Longitude : 29,9 ° +/- 0,5 °;Frames R : 1 & Frames I : 1;Validated Near Earth Object / Maximum duration : 0,033 / Airmass : 2,18;999;Not visible;Not visible;Not visible;Not visible;Not visible;Not visible;Not visible;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved
NELIOTA 4;Impossible creation;Impossible creation;Unnamed formation;Contemporary meteoritic impact;No subtype;2017;Non appliable;NELIOTA 4;NELIOTA project (ESA);Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;-58,9;301,1;58 ° 54 '  West;-12,7;12 ° 18 '  South;Visible face;South-West;Not determined;999;Not determined;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Event date & time : 2017 03 04 @ 20:51:31.853 UT;R Magnitude = 9,5 +/- 0,14 & I Magnitude = 8,79 +/- 0,06 > Latitude : -12,7 ° +/- 0,5 ° > Longitude : -58,9 ° +/- 0,5 °;Frames R : 1 & Frames I : 1;Validated Near Earth Object / Maximum duration : 0,033 / Airmass : 2,55;999;Not visible;Not visible;Not visible;Not visible;Not visible;Not visible;Not visible;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved
NELIOTA 5;Impossible creation;Impossible creation;Unnamed formation;Contemporary meteoritic impact;No subtype;2017;Non appliable;NELIOTA 5;NELIOTA project (ESA);Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;-58,8;301,2;58 ° 48 '  West;11,6;11 ° 36 '  North;Visible face;North-West;Not determined;999;Not determined;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Event date & time : 2017 04 01 @ 19:45:51.650 UT;R Magnitude = 10,18 +/- 0,13 & I Magnitude = 8,61 +/- 0,03 > Latitude : 11,6 ° +/- 0,5 ° > Longitude : -58,8 ° +/- 0,5 °;Frames R : 1 & Frames I : 1;Validated Near Earth Object / Maximum duration : 0,033 / Airmass : 2,44;999;Not visible;Not visible;Not visible;Not visible;Not visible;Not visible;Not visible;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved
NELIOTA 6;Impossible creation;Impossible creation;Unnamed formation;Contemporary meteoritic impact;No subtype;2017;Non appliable;NELIOTA 6;NELIOTA project (ESA);Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;-43,2;316,8;43 ° 12 '  West;4,7;4 ° 42 '  North;Visible face;North-West;Not determined;999;Not determined;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Event date & time : 2017 05 01 @ 20:30:58.137 UT;R Magnitude = 10,19 +/- 0,18 & I Magnitude = 8,84 +/- 0,05 > Latitude : 4,7 ° +/- 0,5 ° > Longitude : -43,2 ° +/- 0,5 °;Frames R : 1 & Frames I : 2;Validated Near Earth Object / Maximum duration : 0,066 / Airmass : 2,45;999;Not visible;Not visible;Not visible;Not visible;Not visible;Not visible;Not visible;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved
NELIOTA 7;Impossible creation;Impossible creation;Unnamed formation;Contemporary meteoritic impact;No subtype;2017;Non appliable;NELIOTA 7;NELIOTA project (ESA);Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;29,5;29,5;-30 ° 30 '  West;38,5;38 ° 30 '  North;Visible face;North-East;Not determined;999;Not determined;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Event date & time : 2017 05 20 @ 01:58:56.980 UT;R Magnitude = -99,99 +/- -99,99 & I Magnitude = 10,93 +/- 0,32 > Latitude : 38,5 ° +/- 0,5 ° > Longitude : 29,5 ° +/- 0,5 °;Frames R : 0 & Frames I : 1;Suspected Suspected Near Earth Object / Maximum duration : 0,033 / Airmass : 2,84;999;Not visible;Not visible;Not visible;Not visible;Not visible;Not visible;Not visible;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved
NELIOTA 8;Impossible creation;Impossible creation;Unnamed formation;Contemporary meteoritic impact;No subtype;2017;Non appliable;NELIOTA 8;NELIOTA project (ESA);Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;-25,8;334,2;25 ° 48 '  West;2,4;2 ° 24 '  North;Visible face;North-West;Not determined;999;Not determined;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Event date & time : 2017 05 29 @ 19:00:05.083 UT;R Magnitude = -99,99 +/- -99,99 & I Magnitude = 9,78 +/- 0,12 > Latitude : 2,4 ° +/- 0,5 ° > Longitude : -25,8 ° +/- 0,5 °;Frames R : 0 & Frames I : 1;Suspected Suspected Near Earth Object / Maximum duration : 0,033 / Airmass : 2,24;999;Not visible;Not visible;Not visible;Not visible;Not visible;Not visible;Not visible;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved
NELIOTA 9;Impossible creation;Impossible creation;Unnamed formation;Contemporary meteoritic impact;No subtype;2017;Non appliable;NELIOTA 9;NELIOTA project (ESA);Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;55;55;55 ° 0 '  East;9;9 ° 0 '  North;Visible face;North-East;Not determined;999;Not determined;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Event date & time : 2017 06 19 @ 01:50:34.560 UT;R Magnitude = 9,9 +/- 0,1 & I Magnitude = 9,6 +/- 0,09 > Latitude : 9 ° +/- 1 ° > Longitude : 55 ° +/- 1 °;Frames R : 0 & Frames I : 2;Suspected suspected Near Earth Object / Maximum duration : 0,066 / Airmass : 2,627;999;Not visible;Not visible;Not visible;Not visible;Not visible;Not visible;Not visible;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved
NELIOTA 10;Impossible creation;Impossible creation;Unnamed formation;Contemporary meteoritic impact;No subtype;2017;Non appliable;NELIOTA 10;NELIOTA project (ESA);Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;19;19;19 ° 0 '  East;34;34 ° 0 '  North;Visible face;North-East;Not determined;999;Not determined;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Event date & time : 2017 06 19 @ 01:51:08.663 UT;R Magnitude = -99 +/- -99 & I Magnitude = 11,02 +/- 0,35 > Latitude : 34 ° +/- 1 ° > Longitude : 19 ° +/- 1 °;Frames R : 0 & Frames I : 1;Suspected Faint Near Earth Object / Maximum duration : 0,033 / Airmass : 2,627;999;Not visible;Not visible;Not visible;Not visible;Not visible;Not visible;Not visible;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved
NELIOTA 11;Impossible creation;Impossible creation;Unnamed formation;Contemporary meteoritic impact;No subtype;2017;Non appliable;NELIOTA 11;NELIOTA project (ESA);Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;60;60;60 ° 0 '  East;17;17 ° 0 '  North;Visible face;North-East;Not determined;999;Not determined;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Event date & time : 2017 06 19 @ 02:39:13.590 UT;R Magnitude = -99,99 +/- -99,99 & I Magnitude = 10,99 +/- 0,4 > Latitude : 17 ° +/- 1 ° > Longitude : 60 ° +/- 1 °;Frames R : 0 & Frames I : 1;Suspected Faint Near Earth Object / Maximum duration : 0,033 / Airmass : 1,857;999;Not visible;Not visible;Not visible;Not visible;Not visible;Not visible;Not visible;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved
NELIOTA 12;Impossible creation;Impossible creation;Unnamed formation;Contemporary meteoritic impact;No subtype;2017;Non appliable;NELIOTA 12;NELIOTA project (ESA);Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;-22,5;337,5;22 ° 30 '  West;26,8;26 ° 48 '  North;Visible face;North-West;Not determined;999;Not determined;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Event date & time : 2017 06 27 @ 18:58:26.680 UT;R Magnitude = 11,07 +/- 0,32 & I Magnitude = 9,27 +/- 0,06 > Latitude : 26,8 ° +/- 0,5 ° > Longitude : -22,5 ° +/- 0,5 °;Frames R : 1 & Frames I : 2;Validated True Flash / Maximum duration : 0,066 / Airmass : 2,688;999;Not visible;Not visible;Not visible;Not visible;Not visible;Not visible;Not visible;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved
NELIOTA 13;Impossible creation;Impossible creation;Unnamed formation;Contemporary meteoritic impact;No subtype;2017;Non appliable;NELIOTA 13;NELIOTA project (ESA);Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;0;360;0 ° 0 '  East;5,6;5 ° 36 '  North;Visible face;North-West;Not determined;999;Not determined;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Event date & time : 2017 06 28 @ 18:45:25.568 UT;R Magnitude = 10,56 +/- 0,38 & I Magnitude = 9,48 +/- 0,13 > Latitude : 5,6 ° +/- 0,5 ° > Longitude : 0 ° +/- 0,5 °;Frames R : 1 & Frames I : 2;Validated Near Earth Object flash / Maximum duration : 0,066 / Airmass : 1,933;999;Not visible;Not visible;Not visible;Not visible;Not visible;Not visible;Not visible;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved
NELIOTA 14;Impossible creation;Impossible creation;Unnamed formation;Contemporary meteoritic impact;No subtype;2017;Non appliable;NELIOTA 14;NELIOTA project (ESA);Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;35;35;35 ° 0 '  East;7,8;7 ° 48 '  North;Visible face;North-East;Not determined;999;Not determined;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Event date & time : 2017 07 19 @ 02:00:36.453 UT;R Magnitude = 11,23 +/- 0,4 & I Magnitude = 9,33 +/- 0,06 > Latitude : 7,8 ° +/- 0,5 ° > Longitude : 35 ° +/- 0,5 °;Frames R : 1 & Frames I : 2;Validated Near Earth Object flash / Maximum duration : 0,066 / Airmass : 2,309;999;Not visible;Not visible;Not visible;Not visible;Not visible;Not visible;Not visible;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved
NELIOTA 15;Impossible creation;Impossible creation;Unnamed formation;Contemporary meteoritic impact;No subtype;2017;Non appliable;NELIOTA 15;NELIOTA project (ESA);Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;-46,7;313,3;46 ° 42 '  West;29,5;29 ° 30 '  North;Visible face;North-West;Not determined;999;Not determined;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Event date & time : 2017 07 27 @ 18:31:06.720 UT;R Magnitude = -99,99 +/- -99,99 & I Magnitude = 9,34 +/- 0,1 > Latitude : 29,5 ° +/- 0,5 ° > Longitude : -46,7 ° +/- 0,5 °;Frames R : 0 & Frames I : 2;Suspected Suspected Near Earth Object flash / Maximum duration : 0,033 / Airmass : 2,562;999;Not visible;Not visible;Not visible;Not visible;Not visible;Not visible;Not visible;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved
NELIOTA 16;Impossible creation;Impossible creation;Unnamed formation;Contemporary meteoritic impact;No subtype;2017;Non appliable;NELIOTA 16;NELIOTA project (ESA);Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;-40;320;40 ° 0 '  West;-3,2;3 ° 48 '  South;Visible face;South-West;Not determined;999;Not determined;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Event date & time : 2017 07 28 @ 18:21:44.850 UT;R Magnitude = 11,24 +/- 0,34 & I Magnitude = 9,29 +/- 0,06 > Latitude : -3,2 ° +/- 0,5 ° > Longitude : -40 ° +/- 0,5 °;Frames R : 1 & Frames I : 2;Validated Near Earth Object flash / Maximum duration : 0,066 / Airmass : 2,044;999;Not visible;Not visible;Not visible;Not visible;Not visible;Not visible;Not visible;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved
NELIOTA 17;Impossible creation;Impossible creation;Unnamed formation;Contemporary meteoritic impact;No subtype;2017;Non appliable;NELIOTA 17;NELIOTA project (ESA);Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;-30,6;329,4;30 ° 36 '  West;28,5;28 ° 30 '  North;Visible face;North-West;Not determined;999;Not determined;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Event date & time : 2017 07 28 @ 18:42:58.027 UT;R Magnitude = 10,72 +/- 0,24 & I Magnitude = 9,63 +/- 0,1 > Latitude : 28,5 ° +/- 0,5 ° > Longitude : -30,6 ° +/- 0,5 °;Frames R : 1 & Frames I : 1;Validated True Near Earth Object flash / Maximum duration : 0,033 / Airmass : 2,236;999;Not visible;Not visible;Not visible;Not visible;Not visible;Not visible;Not visible;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved
NELIOTA 18;Impossible creation;Impossible creation;Unnamed formation;Contemporary meteoritic impact;No subtype;2017;Non appliable;NELIOTA 18;NELIOTA project (ESA);Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;-50,7;309,3;50 ° 42 '  West;20,6;20 ° 36 '  North;Visible face;North-West;Not determined;999;Not determined;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Event date & time : 2017 07 28 @ 18:51:41.683 UT;R Magnitude = 10,84 +/- 0,24 & I Magnitude = 9,81 +/- 0,09 > Latitude : 20,6 ° +/- 0,5 ° > Longitude : -50,7 ° +/- 0,5 °;Frames R : 1 & Frames I : 1;Validated Near Earth Object Flash / Maximum duration : 0,033 / Airmass : 2,457;999;Not visible;Not visible;Not visible;Not visible;Not visible;Not visible;Not visible;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved
NELIOTA 19;Impossible creation;Impossible creation;Unnamed formation;Contemporary meteoritic impact;No subtype;2017;Non appliable;NELIOTA 19;NELIOTA project (ESA);Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;-18,7;341,3;18 ° 42 '  West;18,1;18 ° 6 '  North;Visible face;North-West;Not determined;999;Not determined;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Non appliable;Event date & time : 2017 07 28 @ 19:17:18.307 UT;R Magnitude = 8,27 +/- 0,04 & I Magnitude = 6,32 +/- 0,01 > Latitude : 18,1 ° +/- 0,5 ° > Longitude : -18,7 ° +/- 0,5 °;Frames R : 2 & Frames I : 5;Validated Near Earth Object Flash / Maximum duration : 0,132 / Airmass : 2,763;999;Not visible;Not visible;Not visible;Not visible;Not visible;Not visible;Not visible;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved;Not IAU approuved
